id	pfam_id	uniprot_id	pfam_embedding	uniprot_embedding	refSeqAccession	entry	entry_name	protein_names	gene_names	organism	pfam_description	uniprot_function
None	PF00269	A0A2A7EB35	None	None	WP_000002841.1	None	None	A0A2A7EB35_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A2N1JRL5	None	None	WP_000002841.1	None	None	A0A2N1JRL5_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A9X9CH21	None	None	WP_000002841.1	None	None	A0A9X9CH21_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A7V7L9W5	None	None	WP_000002841.1	None	None	A0A7V7L9W5_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A4S4HP99	None	None	WP_000002841.1	None	None	A0A4S4HP99_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A3G5UCY1	None	None	WP_000002841.1	None	None	A0A3G5UCY1_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A6H0TDX1	None	None	WP_000002841.1	None	None	A0A6H0TDX1_BACTU	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A8T9Z1J2	None	None	WP_000002841.1	None	None	A0A8T9Z1J2_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0AAE4QHT0	None	None	WP_000002841.1	None	None	A0AAE4QHT0_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0AAJ1GQI2	None	None	WP_000002841.1	None	None	A0AAJ1GQI2_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0AAJ2RF67	None	None	WP_000002841.1	None	None	A0AAJ2RF67_9BACI	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF00269	A0A158RK19	None	None	WP_000002841.1	None	None	A0A158RK19_BACC3	None	None	None	SASP are bound to spore DNA. They are double-stranded DNA-CC       binding proteins that cause DNA to change to an a-like conformation.CC       They protect the DNA backbone from chemical and enzymatic cleavage andCC       are thus involved in dormant spore's high resistance to UV light.CC       {ECO:0000256|ARBA:ARBA00003863}.
None	PF08439	A0A3P1TPN4	None	None	WP_000003398.1	None	None	A0A3P1TPN4_BACAN	None	None	This domain is found to the N-terminus of the Pfam:PF01432 domain in bacterial and archaeal proteins including Oligoendopeptidase F.  An example of this protein is Lactococcus lactis PepF [[cite:PUB00017380]].	Has oligopeptidase activity and degrades a variety of smallCC       bioactive peptides. {ECO:0000256|RuleBase:RU368091}.
None	PF08439	A0A6H3AGK5	None	None	WP_000003398.1	None	None	A0A6H3AGK5_BACAN	None	None	This domain is found to the N-terminus of the Pfam:PF01432 domain in bacterial and archaeal proteins including Oligoendopeptidase F.  An example of this protein is Lactococcus lactis PepF [[cite:PUB00017380]].	Has oligopeptidase activity and degrades a variety of smallCC       bioactive peptides. {ECO:0000256|RuleBase:RU368091}.
None	PF00575	A0A3P1TZV0	None	None	WP_000003765.1	None	None	A0A3P1TZV0_BACAN	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A0E1MH25	None	None	WP_000003765.1	None	None	A0A0E1MH25_BACCE	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A427RSH6	None	None	WP_000003765.1	None	None	A0A427RSH6_BACSP	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A0B6BP16	None	None	WP_000003765.1	None	None	A0A0B6BP16_BACTU	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A6I0BWV8	None	None	WP_000003765.1	None	None	A0A6I0BWV8_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A243CL08	None	None	WP_000003765.1	None	None	A0A243CL08_BACTU	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A242W642	None	None	WP_000003765.1	None	None	A0A242W642_BACTU	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A243BC04	None	None	WP_000003765.1	None	None	A0A243BC04_BACTU	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A853X7G2	None	None	WP_000003765.1	None	None	A0A853X7G2_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A150DWF0	None	None	WP_000003765.1	None	None	A0A150DWF0_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A4Y6F229	None	None	WP_000003765.1	None	None	A0A4Y6F229_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A1J9Z0B6	None	None	WP_000003765.1	None	None	A0A1J9Z0B6_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A7V7S666	None	None	WP_000003765.1	None	None	A0A7V7S666_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A2A8USW3	None	None	WP_000003765.1	None	None	A0A2A8USW3_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A2N1JTW4	None	None	WP_000003765.1	None	None	A0A2N1JTW4_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A6I7X4I7	None	None	WP_000003765.1	None	None	A0A6I7X4I7_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A6H9IAS5	None	None	WP_000003765.1	None	None	A0A6H9IAS5_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A7V7HGA2	None	None	WP_000003765.1	None	None	A0A7V7HGA2_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A4Y7R0T4	None	None	WP_000003765.1	None	None	A0A4Y7R0T4_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A4S4HGC3	None	None	WP_000003765.1	None	None	A0A4S4HGC3_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A6H0TH59	None	None	WP_000003765.1	None	None	A0A6H0TH59_BACTU	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A556BR84	None	None	WP_000003765.1	None	None	A0A556BR84_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A6L5Q6B3	None	None	WP_000003765.1	None	None	A0A6L5Q6B3_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	Q6HC05	None	None	WP_000003765.1	None	None	Q6HC05_BACHK	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	Q632G2	None	None	WP_000003765.1	None	None	Q632G2_BACCZ	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A243GUS2	None	None	WP_000003765.1	None	None	A0A243GUS2_BACTF	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0AAJ1GMP6	None	None	WP_000003765.1	None	None	A0AAJ1GMP6_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0AA96PIN2	None	None	WP_000003765.1	None	None	A0AA96PIN2_9BACI	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	B7JDF8	None	None	WP_000003765.1	None	None	B7JDF8_BACC0	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0AAN0W9M5	None	None	WP_000003765.1	None	None	A0AAN0W9M5_BACCE	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00575	A0A158RT72	None	None	WP_000003765.1	None	None	A0A158RT72_BACC3	None	None	The S1 domain occurs in a wide range of RNA associated proteins. It is structurally similar to cold shock protein which binds nucleic acids. The S1 domain has an OB-fold structure.	None
None	PF00366	J8AIL7	None	None	WP_000004106.1	None	None	J8AIL7_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	J8D3U1	None	None	WP_000004106.1	None	None	J8D3U1_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5VPA7	None	None	WP_000004106.1	None	None	A0A9W5VPA7_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5QMD0	None	None	WP_000004106.1	None	None	A0A9W5QMD0_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5KES5	None	None	WP_000004106.1	None	None	A0A9W5KES5_BACC8	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5KDP4	None	None	WP_000004106.1	None	None	A0A9W5KDP4_BACC6	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5PP01	None	None	WP_000004106.1	None	None	A0A9W5PP01_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5KT84	None	None	WP_000004106.1	None	None	A0A9W5KT84_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5VVH8	None	None	WP_000004106.1	None	None	A0A9W5VVH8_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5V5P9	None	None	WP_000004106.1	None	None	A0A9W5V5P9_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W3JXC9	None	None	WP_000004106.1	None	None	A0A9W3JXC9_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W3NYZ4	None	None	WP_000004106.1	None	None	A0A9W3NYZ4_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X0F7L8	None	None	WP_000004106.1	None	None	A0A9X0F7L8_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W5E547	None	None	WP_000004106.1	None	None	A0A9W5E547_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X6J0N4	None	None	WP_000004106.1	None	None	A0A9X6J0N4_BACUD	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X6LPB7	None	None	WP_000004106.1	None	None	A0A9X6LPB7_BACUH	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X6JUU7	None	None	WP_000004106.1	None	None	A0A9X6JUU7_BACUK	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0AAN4KML0	None	None	WP_000004106.1	None	None	A0AAN4KML0_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W3LJA8	None	None	WP_000004106.1	None	None	A0A9W3LJA8_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	Q81VS1	None	None	WP_000004106.1	None	None	RS17_BACAN	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000255|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A6L7HCL1	None	None	WP_000004106.1	None	None	A0A6L7HCL1_BACAN	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A063CJ61	None	None	WP_000004106.1	None	None	A0A063CJ61_BACCE	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A1D3MZW2	None	None	WP_000004106.1	None	None	A0A1D3MZW2_BACMY	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A3R9CPJ5	None	None	WP_000004106.1	None	None	A0A3R9CPJ5_BACSP	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W3SNI4	None	None	WP_000004106.1	None	None	A0A9W3SNI4_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A0B6BN36	None	None	WP_000004106.1	None	None	A0A0B6BN36_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	W8Y4D8	None	None	WP_000004106.1	None	None	W8Y4D8_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A6I0BSW7	None	None	WP_000004106.1	None	None	A0A6I0BSW7_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9W4EX77	None	None	WP_000004106.1	None	None	A0A9W4EX77_BACTO	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A1V6L8V1	None	None	WP_000004106.1	None	None	A0A1V6L8V1_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X0EU17	None	None	WP_000004106.1	None	None	A0A9X0EU17_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A0J6NXB7	None	None	WP_000004106.1	None	None	A0A0J6NXB7_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X8QGK2	None	None	WP_000004106.1	None	None	A0A9X8QGK2_9BACI	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X6FDN0	None	None	WP_000004106.1	None	None	A0A9X6FDN0_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A243IPC5	None	None	WP_000004106.1	None	None	A0A243IPC5_BACHU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X6J981	None	None	WP_000004106.1	None	None	A0A9X6J981_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9X6QT15	None	None	WP_000004106.1	None	None	A0A9X6QT15_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A243CYN6	None	None	WP_000004106.1	None	None	A0A243CYN6_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A242WFV3	None	None	WP_000004106.1	None	None	A0A242WFV3_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A243BLV8	None	None	WP_000004106.1	None	None	A0A243BLV8_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0AAE5MWM2	None	None	WP_000004106.1	None	None	A0AAE5MWM2_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
None	PF00366	A0A9Q5X6B0	None	None	WP_000004106.1	None	None	A0A9Q5X6B0_BACTU	None	None	None	One of the primary rRNA binding proteins, it bindsCC       specifically to the 5'-end of 16S ribosomal RNA. {ECO:0000256|HAMAP-CC       Rule:MF_01345}.
